f,1,2,3,4,5,6
1,0.086,0.0445,0.1731,0.3258,0.0718,0.2987
2,0.6714,0.0844,0.0975,0.0327,0.0655,0.0485
3,0.1175,0.0505,0.4952,0.0902,0.0945,0.1521
4,0.0858,0.0417,0.4808,0.0739,0.1073,0.2106
5,0.4338,0.1331,0.168,0.0514,0.1332,0.0805
6,0.1347,0.0581,0.4663,0.0598,0.1684,0.1128
7,0.0677,0.0334,0.2228,0.1003,0.067,0.5089
8,0.0835,0.046,0.1347,0.0354,0.6319,0.0685
9,0.0935,0.0474,0.3348,0.0894,0.1195,0.3153
10,0.0926,0.0463,0.3786,0.0851,0.1187,0.2787
11,0.7772,0.0597,0.0649,0.0228,0.0422,0.0331
12,0.2634,0.4971,0.0874,0.034,0.068,0.0501
13,0.0933,0.047,0.358,0.0871,0.1199,0.2946
14,0.1875,0.0714,0.4089,0.0762,0.1315,0.1245
15,0.3351,0.276,0.1414,0.0637,0.0965,0.0874
16,0.1125,0.0583,0.1777,0.3773,0.0795,0.1947
17,0.0791,0.0394,0.293,0.0911,0.0883,0.409
18,0.1501,0.0626,0.4487,0.0627,0.1618,0.1142
19,0.1662,0.0656,0.4436,0.0697,0.1356,0.1193
20,0.4742,0.2206,0.1138,0.0411,0.0888,0.0615
21,0.1011,0.0517,0.3532,0.0865,0.1419,0.2656
22,0.1088,0.0466,0.5428,0.0766,0.091,0.1341
23,0.1351,0.0557,0.5061,0.0626,0.128,0.1125
24,0.1788,0.0696,0.4194,0.0702,0.1426,0.1194
25,0.5052,0.1036,0.162,0.0567,0.092,0.0804
26,0.1504,0.0637,0.3841,0.1242,0.1035,0.1742
27,0.2191,0.5615,0.0795,0.0309,0.0634,0.0457
28,0.0973,0.0489,0.3859,0.0829,0.1336,0.2514
29,0.0739,0.0379,0.141,0.4856,0.0585,0.203
30,0.0865,0.0434,0.3271,0.0898,0.1031,0.3502
31,0.0812,0.0405,0.3025,0.0908,0.0923,0.3927
32,0.3342,0.3973,0.0988,0.0389,0.0743,0.0566
33,0.2006,0.0797,0.3485,0.0655,0.1917,0.114
34,0.1001,0.0511,0.3522,0.0869,0.1386,0.2712
35,0.109,0.0524,0.4411,0.0607,0.2047,0.1322
36,0.1028,0.0482,0.5004,0.057,0.1695,0.122
37,0.37,0.1059,0.2244,0.0795,0.1107,0.1095
38,0.3008,0.2986,0.1416,0.051,0.1289,0.0791
39,0.5614,0.1186,0.1255,0.0498,0.0762,0.0686
40,0.3087,0.3161,0.1338,0.0485,0.1183,0.0746
41,0.1308,0.0537,0.5214,0.0643,0.1159,0.1139
42,0.1012,0.046,0.5437,0.0536,0.146,0.1096
43,0.3011,0.3477,0.127,0.0557,0.0906,0.078
44,0.0815,0.0391,0.5063,0.0731,0.0956,0.2044
45,0.4582,0.1075,0.1808,0.0647,0.0985,0.0903
46,0.167,0.0658,0.4424,0.0699,0.1355,0.1195
47,0.1129,0.0581,0.1777,0.3821,0.0788,0.1904
48,0.7109,0.0789,0.0831,0.0282,0.057,0.0419
49,0.3139,0.0979,0.2687,0.0691,0.1425,0.1079
50,0.5241,0.2014,0.1033,0.0406,0.0724,0.0581
51,0.4433,0.1122,0.1825,0.0692,0.0984,0.0944
52,0.115,0.0589,0.1798,0.3778,0.0794,0.1891
53,0.1324,0.0573,0.4712,0.0594,0.1672,0.1125
54,0.0932,0.0407,0.6135,0.0494,0.1072,0.0961
55,0.4039,0.3131,0.1049,0.0413,0.0771,0.0597
56,0.3157,0.2855,0.1438,0.0656,0.0992,0.0901
57,0.3292,0.1071,0.2364,0.0936,0.1113,0.1224
58,0.3548,0.3043,0.1251,0.0536,0.0873,0.0749
59,0.2691,0.2943,0.151,0.0557,0.1428,0.0871
